RE	TG	SNP	D0	Sig	RS	P-value	TF
chr16_28613960_28614393	SULT1A1	rs1042157,rs10521145,rs1059491,rs10797300,rs11074904,rs11074907,rs11074911,rs111384198,rs111693583,rs111820348,rs112047757,rs112191041,rs112517029,rs1126447,rs112831778,rs113208333,rs11569775,rs11648192,rs116840534,rs116938877,rs117075874,rs117264168,rs12445519,rs12445705,rs12445744,rs12445823,rs12446008,rs12447461,rs12448429,rs12934920,rs12935321,rs137991131,rs138534121,rs139896537,rs140078626,rs142241142,rs142505175,rs143021357,rs145790611,rs146347288,rs148738186,rs150605852,rs151231,rs151232,rs17640009,rs17707300,rs190012453,rs193628,rs1968751,rs1968752,rs2077031,rs2077412,rs2411453,rs28410083,rs28480369,rs28676837,rs28729187,rs2925624,rs2925629,rs2925630,rs3020803,rs3020804,rs35175818,rs35626515,rs3743963,rs3760091,rs3859172,rs3987654,rs4115668,rs41278158,rs4149391,rs4149392,rs4149394,rs4149398,rs4149406,rs4787453,rs4787455,rs4788061,rs4788068,rs4788069,rs4788070,rs4788073,rs4788074,rs4788076,rs4788077,rs480400,rs497523,rs55792032,rs56148728,rs56209193,rs56272201,rs56396270,rs62031560,rs62031562,rs62031607,rs62034351,rs62034355,rs62034358,rs62034359,rs6498089,rs6498091,rs6839,rs710410,rs7186573,rs7187604,rs7191548,rs7191618,rs7192601,rs7193402,rs7193413,rs72791892,rs72793807,rs743590,rs74752114,rs750155,rs75301646,rs75539558,rs762633,rs762634,rs79039694,rs79780529,rs8049739,rs8054605,rs9282862,rs9922110,rs9929198	rs11074907	rs11074907,rs7192601,rs7191548,rs6498091,rs4788070,rs4788069,rs4788068,rs1042157,rs6839,rs4149394,rs79039694,rs4149392,rs75301646,rs116840534,rs111384198,rs4149391,rs41278158,rs74752114,rs9282862,rs2925624,rs3020804,rs11648192,rs3020803,rs62031562,rs2925629,rs2925630,rs4149398,rs35175818,rs1126447,rs762633,rs743590,rs750155,rs3760091,rs4115668,rs4149406,rs113208333,rs62031560,rs3743963,rs1059491,rs710410,rs762634,rs2077031,rs28729187,rs28480369,rs28676837,rs62034359,rs55792032,rs6498089,rs28410083,rs62031607,rs1968752,rs1968751,rs2411453,rs8049739,rs75539558,rs17640009,rs4788073,rs4788074,rs17707300,rs112831778,rs112047757,rs4787455,rs12448429,rs12445744,rs12445823,rs62034358,rs7186573,rs7193402,rs56209193,rs4788061,rs12446008,rs11074911,rs7193413,rs111693583,rs9929198,rs112191041,rs111820348,rs12447461,rs151231,rs193628,rs62034355,rs56396270,rs3987654,rs56272201,rs151232,rs35626515,rs72793807,rs480400,rs4788076,rs4788077,rs3859172,rs7187604,rs7191618,rs62034351	0.6260507457761834	2.4307006407653375e-09	FOXO4,TBR1,ETS2,RXRB,EGR1
chr6_26476097_26476504	HIST1H4H	rs1056667,rs1056668,rs112262716,rs115017759,rs115147071,rs115181423,rs116400797,rs12176129,rs12525684,rs13194984,rs13195047,rs13195401,rs13195402,rs13195509,rs1321479,rs13220261,rs13220495,rs1407045,rs146093705,rs1535276,rs1624440,rs16891717,rs16891725,rs16891727,rs1741740,rs1977198,rs1977199,rs1977200,rs2024970,rs2076030,rs2093169,rs2145318,rs2208331,rs2235251,rs2237236,rs2255070,rs2273558,rs2295593,rs2393669,rs34104395,rs34148261,rs34313099,rs34605993,rs35355150,rs35555795,rs35627490,rs35680819,rs35942482,rs36033628,rs3734540,rs3734542,rs3734543,rs3734544,rs3736781,rs3736782,rs3757150,rs3757151,rs3799380,rs3799383,rs3823158,rs3846845,rs3846846,rs4518487,rs4713006,rs56296968,rs60632935,rs6456727,rs6456728,rs66757203,rs6900665,rs6903973,rs6910899,rs6910930,rs6924727,rs6924865,rs6925703,rs6926629,rs6926677,rs6933213,rs6941920,rs72843784,rs74939491,rs76715864,rs7755997,rs7756567,rs7763910,rs7773938,rs9295689,rs9295694,rs9348719,rs9348720,rs9348721,rs9358944,rs9358945,rs9358946,rs9358947,rs9358948,rs9358952,rs9366656,rs9366657,rs9366658,rs9379874,rs9379875,rs9379880,rs9379882,rs9379887,rs9393727,rs9393728,rs9393729,rs9461259,rs9461267,rs9467772,rs9467773,rs9467774,rs9467775	rs1407045	rs1407045,rs3757150,rs16891717,rs6456728,rs56296968,rs34104395,rs7773938,rs6926677,rs9358946,rs9358947,rs16891725,rs7763910,rs9358945,rs6456727,rs7756567,rs9348720,rs9348719,rs9358944,rs9366658,rs7755997,rs9358948,rs12525684,rs3734544,rs3734543,rs3734542,rs4518487,rs3799380,rs9348721,rs1977200,rs1977199,rs1977198,rs2273558,rs6900665,rs16891727,rs13195509,rs13195402,rs13195401,rs3734540,rs3823158,rs34313099,rs35627490,rs6924727,rs6941920,rs13195047,rs6933213,rs2093169,rs36033628,rs9467772,rs2145318,rs35680819,rs9295689,rs9379880,rs2024970,rs66757203,rs3757151,rs34605993,rs9467773,rs72843784,rs13220261,rs6926629,rs6903973,rs9393727,rs2295593,rs2255070,rs1321479,rs2393669,rs9461259,rs9467774,rs3736781,rs3736782,rs2208331,rs35942482,rs9379875,rs9393728,rs35555795,rs1056667,rs1056668,rs3799383,rs13220495,rs9379882,rs34148261,rs9295694,rs9467775,rs9393729,rs12176129,rs9358952,rs9366656,rs9379887,rs1624440,rs4713006,rs2235251,rs1535276,rs6924865,rs6925703,rs6910930,rs6910899,rs9461267,rs2076030,rs35355150	0.6179997151984501	4.6160002487027896e-09	TEF,SOX9,FOXO4,CEBPD,RXRB,YY1,ARX,FOXG1,NFIX,POU3F3,PBX2,ETV5,TCF3,TCF4,EGR3,ETS2,CEBPB,SOX2,EGR1,FOXO3,RXRA,SOX8,TBR1,NR2F1
chr16_28599605_28599805	NUPR1	rs1042157,rs10521145,rs1059491,rs1074631,rs10797300,rs11074904,rs11074907,rs11074911,rs111384198,rs111693583,rs111820348,rs111875922,rs112047757,rs112191041,rs112517029,rs1126447,rs112831778,rs113208333,rs11569775,rs11648192,rs116840534,rs116938877,rs117075874,rs117264168,rs118134830,rs12445519,rs12445705,rs12445744,rs12445823,rs12446008,rs12447461,rs12448429,rs12934920,rs12935321,rs13331170,rs137991131,rs138534121,rs139896537,rs142241142,rs142505175,rs142649835,rs143021357,rs145790611,rs146347288,rs146799702,rs148738186,rs149278,rs150605852,rs151226,rs151228,rs151231,rs151232,rs151321,rs17640009,rs17707300,rs190012453,rs193628,rs1968751,rs1968752,rs2077031,rs2077412,rs2411453,rs28410083,rs28480369,rs28676837,rs28729187,rs2925624,rs2925629,rs2925630,rs3020803,rs3020804,rs35175818,rs35626515,rs3743963,rs3760091,rs3785354,rs3859172,rs3987654,rs4115668,rs41278158,rs4149391,rs4149392,rs4149394,rs4149398,rs4149406,rs4787453,rs4787455,rs4787456,rs4787457,rs4788061,rs4788068,rs4788069,rs4788070,rs4788073,rs4788074,rs4788076,rs4788077,rs4788078,rs4788079,rs4788080,rs4788081,rs480400,rs497523,rs55792032,rs56148728,rs56209193,rs56272201,rs56396270,rs62031560,rs62031562,rs62031607,rs62034350,rs62034351,rs62034355,rs62034358,rs62034359,rs6498089,rs6498091,rs6839,rs710410,rs7186573,rs7187604,rs7191548,rs7191618,rs7192601,rs7193402,rs7193413,rs72791892,rs743590,rs74752114,rs750155,rs75227850,rs75301646,rs75539558,rs76007774,rs762633,rs762634,rs78102288,rs79039694,rs79780529,rs8049739,rs8054605,rs9282862,rs9922110,rs9926245,rs9929198	###	rs55792032,rs62034359,rs2077031,rs762634,rs710410,rs75539558,rs1059491,rs17640009,rs3743963,rs4788073,rs4788074,rs62031560,rs17707300,rs113208333,rs4149406,rs4115668,rs743590,rs762633,rs112831778,rs112047757,rs35175818,rs4149398,rs62031562,rs4787455,rs12448429,rs12445744,rs12445823,rs62034358,rs7186573,rs7193402,rs56209193,rs11074907,rs7192601,rs7191548,rs11074911,rs111693583,rs112191041,rs6498091,rs4788070,rs12447461,rs151231,rs4788069,rs4788068,rs1042157,rs6839,rs193628,rs4149394,rs79039694,rs4149392,rs75301646,rs116840534,rs111384198,rs4149391,rs41278158,rs74752114,rs9282862,rs62034355,rs2925624,rs56396270,rs3020804,rs11648192,rs56272201,rs3020803,rs2925629,rs151232,rs2925630,rs1126447,rs750155,rs3760091,rs480400,rs28729187,rs28480369,rs28676837,rs6498089,rs4788076,rs4788077,rs28410083,rs62031607,rs1968752,rs1968751,rs2411453,rs8049739,rs3859172,rs7187604,rs7191618,rs62034351,rs151228,rs62034350,rs13331170,rs149278,rs4788078,rs4787456,rs4788079,rs4788080,rs4788081,rs4788061,rs9926245,rs151321,rs4787457,rs12446008,rs7193413,rs9929198,rs111820348,rs1074631,rs3987654,rs3785354,rs151226,rs35626515	0.5231096606299029	3.797268635086226e-06	SOX9,NR2F6,NFIX,RXRA,TBR1,ESRRA,ETS2,SOX2,RXRB,NR1H2,ETV5,NR2F1
chr16_28534340_28534669	NUPR1	rs1074631,rs11074911,rs111404007,rs111693583,rs111720341,rs111875922,rs112191041,rs112517029,rs117789317,rs117885581,rs118134830,rs12446550,rs12447461,rs12448270,rs12934920,rs12935321,rs13331170,rs142649835,rs145307808,rs145380013,rs145457707,rs146799702,rs147413292,rs149271,rs149278,rs149299,rs151174,rs151179,rs151181,rs151182,rs151226,rs151228,rs151231,rs151232,rs151233,rs151234,rs151301,rs151303,rs151321,rs153103,rs153104,rs153105,rs153106,rs153109,rs17855750,rs180743,rs180744,rs181195,rs181203,rs181206,rs181207,rs181209,rs190012453,rs193628,rs2106480,rs231972,rs231974,rs231976,rs231977,rs240702,rs240704,rs240705,rs240707,rs240709,rs26528,rs27741,rs28374519,rs28449958,rs28698667,rs28772958,rs34395441,rs34833,rs34835,rs34836,rs34838,rs34839,rs35483154,rs3785354,rs3859172,rs40831,rs40834,rs40836,rs40837,rs42861,rs4787456,rs4787457,rs4787458,rs4788076,rs4788077,rs4788078,rs4788079,rs4788080,rs4788081,rs4788083,rs4788084,rs4788085,rs480400,rs497523,rs56272201,rs56354901,rs56396270,rs62034318,rs62034319,rs62034321,rs62034322,rs62034323,rs62034325,rs62034350,rs62034351,rs62034355,rs7187604,rs7191618,rs72791878,rs72791892,rs75227850,rs76007774,rs78102288,rs78225763,rs79046494,rs9926245	###	rs62034321,rs4788085,rs28772958,rs62034322,rs28698667,rs62034323,rs62034319,rs240702,rs4787458,rs2106480,rs62034325,rs240704,rs240705,rs4788084,rs28449958,rs79046494,rs62034318,rs153106,rs231977,rs12446550,rs240707,rs4788083,rs231976,rs56354901,rs151226,rs153109,rs3785354,rs26528,rs1074631,rs181209,rs4787457,rs181207,rs151321,rs181206,rs9926245,rs4788081,rs181203,rs4788080,rs40837,rs40836,rs40834,rs4788079,rs4787456,rs4788078,rs40831,rs151174,rs180744,rs180743,rs149278,rs13331170,rs149271,rs62034350,rs151228,rs27741,rs62034351,rs7191618,rs7187604,rs3859172,rs34835,rs4788077,rs4788076,rs151301,rs151182,rs34836,rs42861,rs480400,rs34838,rs151303,rs151181,rs34839,rs28374519,rs151232,rs181195,rs56272201,rs56396270,rs62034355,rs151179,rs193628,rs151231,rs12447461,rs112191041,rs111693583,rs11074911,rs149299	0.48492237029374896	3.653949204651674e-05	SOX9,NR2F6,RXRA,NFIX,TBR1,ESRRA,ETS2,SOX2,RXRB,EGR1,ETV5,NR2F1
chr16_28518143_28518942	NUPR1	rs1074631,rs111404007,rs111720341,rs111875922,rs112517029,rs117789317,rs117885581,rs118134830,rs12446550,rs12448270,rs12934920,rs13331170,rs142649835,rs145307808,rs145380013,rs145457707,rs146799702,rs147413292,rs149271,rs149278,rs149299,rs151174,rs151179,rs151181,rs151182,rs151226,rs151228,rs151233,rs151234,rs151301,rs151303,rs151321,rs153103,rs153104,rs153105,rs153106,rs153109,rs17855750,rs180743,rs180744,rs181195,rs181203,rs181206,rs181207,rs181209,rs2106480,rs231972,rs231974,rs231976,rs231977,rs240702,rs240704,rs240705,rs240707,rs240709,rs26528,rs27741,rs28374519,rs28449958,rs28698667,rs28772958,rs34395441,rs34833,rs34835,rs34836,rs34838,rs34839,rs35483154,rs3785354,rs3859172,rs40831,rs40834,rs40836,rs40837,rs42861,rs4787456,rs4787457,rs4787458,rs4788078,rs4788079,rs4788080,rs4788081,rs4788083,rs4788084,rs4788085,rs56354901,rs62034318,rs62034319,rs62034321,rs62034322,rs62034323,rs62034325,rs62034350,rs62034351,rs7187604,rs7191618,rs72791878,rs72791892,rs75227850,rs76007774,rs78102288,rs78225763,rs79046494,rs9926245	###	rs153109,rs26528,rs181209,rs56354901,rs181207,rs181206,rs240707,rs181203,rs40837,rs40836,rs40834,rs153106,rs62034318,rs79046494,rs40831,rs28449958,rs151174,rs180744,rs180743,rs240705,rs240704,rs149271,rs4787458,rs240702,rs62034319,rs27741,rs28698667,rs62034321,rs4788085,rs28772958,rs62034322,rs62034323,rs34835,rs2106480,rs62034325,rs4788084,rs151301,rs151182,rs231977,rs34836,rs42861,rs34838,rs12446550,rs151303,rs4788083,rs231976,rs151181,rs34839,rs28374519,rs181195,rs151226,rs151179,rs3785354,rs149299,rs1074631,rs4787457,rs151321,rs9926245,rs4788081,rs4788080,rs4788079,rs4787456,rs4788078,rs149278,rs13331170,rs62034350,rs151228,rs62034351,rs7191618,rs7187604,rs3859172	0.4634781206315327	0.00011685259984051122	SOX9,NR2F6,RXRA,NFIX,ESRRA,ETS2,SOX2,RXRB,EGR1,ETV5,NR2F1
chr16_53523754_53524168	AKTIP	rs10521294,rs10521295,rs10521296,rs1072910,rs1072911,rs10748,rs111232287,rs1131220,rs113222130,rs113335556,rs11540358,rs11642335,rs117468321,rs11859021,rs11859538,rs11864278,rs11865328,rs11867005,rs12447950,rs12448867,rs12597693,rs13332406,rs13337544,rs1362429,rs140043856,rs143144335,rs143864003,rs147587519,rs150565897,rs16952242,rs16952246,rs16952251,rs16952252,rs17192524,rs17193155,rs17193176,rs17193922,rs17194040,rs17800577,rs17800727,rs17801498,rs17802341,rs17838423,rs182078467,rs182540359,rs185537656,rs1861350,rs1861351,rs192796441,rs2024449,rs2098404,rs28497646,rs28661428,rs3095566,rs3095567,rs3095571,rs3095572,rs3095631,rs3095633,rs3095635,rs3803657,rs3809634,rs3929,rs4281707,rs4783811,rs4783812,rs4783813,rs4784312,rs55675249,rs55813797,rs56126229,rs58892458,rs60420081,rs60598870,rs62048518,rs62048520,rs62048526,rs62048543,rs62048544,rs62048547,rs62048548,rs7184800,rs7189726,rs7189819,rs7190220,rs7194519,rs7194730,rs7199401,rs7202621,rs7203644,rs7204496,rs7204758,rs72801817,rs72801818,rs72801821,rs72801825,rs72801843,rs72801853,rs72801854,rs73606494,rs75744751,rs76334525,rs76388114,rs77543485,rs77549649,rs78389273,rs8043918,rs8044091,rs8044205,rs8045674,rs8046307,rs8049033,rs8054299,rs8055279,rs8055642,rs8056370,rs8057808,rs8058684,rs8061073,rs8062535,rs9302648,rs9921587,rs9921627,rs9926846,rs9927720,rs9927982,rs9929873,rs9931702,rs9937403,rs9938788,rs9941254	###	rs3929,rs8055279,rs9931702,rs8044091,rs60420081,rs8057808,rs9302648,rs13337544,rs8046307,rs4783813,rs17193176,rs72801854,rs7199401,rs72801853,rs8056370,rs3803657,rs8058684,rs8044205,rs113335556,rs1861351,rs1861350,rs17801498,rs62048543,rs8049033,rs8043918,rs7194519,rs8062535,rs62048526,rs7189819,rs56126229,rs8055642,rs62048544,rs8045674,rs3809634,rs7184800,rs72801843,rs8061073,rs10748,rs11540358,rs1131220,rs3095572,rs28661428,rs17193922,rs4281707,rs1072911,rs1072910,rs8054299,rs4784312,rs7189726,rs11864278,rs11859538,rs17194040,rs7204496,rs2024449,rs62048520,rs9929873,rs13332406,rs7194730,rs9941254,rs7202621,rs16952252,rs111232287,rs4783811,rs16952251,rs9921627,rs7204758,rs9938788,rs72801825,rs17800727,rs16952246,rs72801821,rs1362429,rs9927720,rs17800577,rs72801818,rs9921587,rs62048518,rs72801817,rs16952242,rs9927982	0.4581105203834137	0.00015442530479248262	TEF,MEIS3,HLF,FOXO3,NFIX,SOX9,SOX8,POU3F3,FOXO4,CEBPD,ETS2,CEBPB,RXRB,SP2,YY1,PKNOX2,NR2F1,DBP
chr14_104071283_104071646	KLC1	rs10047805,rs10129298,rs10135840,rs10138244,rs10138246,rs10431750,rs10459574,rs1054080,rs1078756,rs11160754,rs11160755,rs11160756,rs112733282,rs113202063,rs11625397,rs11626589,rs117399015,rs11844466,rs11848721,rs11850979,rs11851000,rs11851616,rs12147645,rs12431809,rs12433529,rs12434218,rs12435399,rs12589494,rs12879004,rs12881418,rs12884809,rs12887734,rs12889403,rs12889721,rs12889731,rs12890820,rs12892038,rs12894729,rs12897511,rs138603598,rs139455075,rs141328288,rs142921366,rs143150593,rs144734146,rs146461042,rs146508307,rs147014034,rs181679244,rs186422572,rs186854575,rs187116902,rs2274267,rs2296482,rs2296483,rs2403197,rs2403202,rs2403203,rs28798508,rs28823639,rs28836820,rs2896488,rs2896489,rs34000399,rs34026011,rs34186780,rs34259310,rs34843146,rs34896432,rs35015260,rs35026580,rs35053335,rs35229468,rs35496194,rs35498576,rs35686878,rs35772097,rs35918322,rs35921969,rs3742463,rs3742465,rs3759586,rs4318144,rs4374097,rs4383078,rs4444269,rs4464019,rs4525427,rs45532433,rs4561394,rs4900582,rs4900583,rs4900584,rs4900586,rs4906336,rs4906337,rs4906338,rs4906340,rs4906341,rs4906342,rs4906347,rs4906348,rs4906349,rs4906350,rs4906352,rs55751606,rs57072546,rs57202218,rs58601596,rs59217746,rs60249782,rs61637848,rs61995761,rs61996718,rs61996722,rs61996723,rs67899457,rs7140568,rs71417867,rs71417868,rs7142016,rs7145234,rs7148456,rs7154572,rs7154587,rs7154948,rs7155511,rs7157116,rs7161125,rs72710739,rs72710744,rs72710755,rs72710758,rs729437,rs729438,rs745079,rs78536850,rs8005540,rs8006526,rs8007489,rs8007915,rs8008382,rs8008451,rs8012775,rs8017628,rs8017993,rs8018214,rs8020099,rs8020183,rs8021368,rs8021904,rs942862,rs9652308,rs9652403	###	###	0.4555155299527987	0.00017639954304704553	TEF,KLF9,SOX9,NR2F6,SOX10,FOXO4,KLF16,NFIC,CEBPD,NR2F2,RXRB,NR3C1,JDP2,SOX18,YY1,FOXG1,SMAD3,ETV1,E2F3,HEY1,KLF13,ARNT2,NFIA,MZF1,BDP1,POU3F2,ETS1,NFIX,POU3F3,FOXJ3,E2F1,KLF3,NFIB,ETV5,TCF3,TCF4,NFE2L1,NR2E1,TCF12,FLI1,KLF4,EPAS1,ZIC1,BHLHE41,ETS2,TEAD1,CEBPB,SOX2,SP3,SRF,SP2,TBP,BHLHE40,SOX12,NR3C2,RXRG,TFAP4,ZIC2,SP1,FOXO3,RXRA,SOX8,ZBTB7A,ERG,ESRRA,NFE2L2,ELF2,NR2F1,ARNT,GABPA
chr13_21302165_21302798	IL17D	rs10161577,rs10161580,rs10162115,rs10162123,rs10400670,rs1075690,rs10870743,rs11147813,rs11616340,rs116893947,rs116979890,rs117975260,rs11838795,rs11843620,rs12184651,rs12322973,rs12430409,rs12867345,rs145220801,rs149751897,rs150326323,rs17252394,rs17318109,rs181428872,rs185655308,rs187231717,rs1888001,rs2149769,rs2243582,rs2248444,rs2253017,rs2265210,rs2265211,rs2265951,rs2282047,rs2290143,rs2290144,rs2314713,rs2314715,rs2314716,rs2314719,rs2314720,rs2596147,rs2596148,rs2596150,rs2772168,rs2772169,rs2772174,rs2772175,rs2818977,rs2818984,rs2818985,rs2818987,rs2818988,rs28461877,rs2872725,rs28782248,rs28830547,rs2922799,rs3000676,rs3000678,rs34294251,rs3847993,rs3923852,rs3923853,rs3924006,rs4044,rs4063936,rs41286997,rs41377249,rs41470348,rs41523644,rs4359299,rs4432108,rs4505167,rs4608189,rs4769128,rs4770068,rs4770070,rs4770071,rs4770072,rs56671499,rs57027275,rs58937454,rs6490604,rs6490605,rs6490606,rs6490607,rs6490608,rs6490609,rs6490614,rs6490618,rs6783,rs73167415,rs73167417,rs73167418,rs73167419,rs73167425,rs7317804,rs7318586,rs732414,rs7333188,rs7333874,rs7334397,rs735539,rs74540754,rs745679,rs745680,rs77137435,rs7787,rs78486804,rs78573043,rs7981417,rs7982221,rs7985361,rs7985552,rs7986753,rs7988455,rs7989289,rs7990231,rs7992525,rs7994377,rs7995798,rs7997065,rs8000346,rs8000601,rs8000775,rs8001310,rs8001873,rs8002588,rs944054,rs9506537,rs9506538,rs9506542,rs9506547,rs9506548,rs9506549,rs9506550,rs9506552,rs9509330,rs9509334,rs9509342,rs9509343,rs9509348,rs9509350,rs9509352,rs9509353,rs9509354,rs9509356,rs9509363,rs9509365,rs9509366,rs9509367,rs9552259,rs9552265,rs9552271,rs9552274,rs9552275,rs9552276,rs9552277,rs9552278,rs9578309,rs9578311,rs9578313,rs9578316,rs9579922,rs9579927,rs9579928,rs9579929,rs9579932,rs9579937,rs9579938,rs9579939,rs9579940,rs9579941,rs9579945,rs9579946,rs9579947,rs9579948,rs9579949,rs9579950,rs9805454,rs9805466	rs2922799	###	0.45196417736333544	0.00021123745792694937	TEF,MEIS3,NR2F6,SOX9,SOX10,MAZ,CTCF,FOXO4,KLF16,NFIC,CEBPD,RXRB,NR3C1,JDP2,YY1,ARX,FOXG1,ETV1,OLIG1,SMAD3,MZF1,E2F3,KLF13,POU3F2,ETS1,NFIX,POU3F3,MAFG,E2F1,GABPA,PKNOX2,TFCP2,ETV5,TCF3,TCF4,NFE2L1,TCF12,FLI1,KLF4,MAFB,EGR4,BHLHE41,MAF,ETS2,TEAD1,CEBPB,SOX2,SRF,EGR3,EGR1,TBP,BHLHE40,RFX5,NR3C2,ATF4,RXRG,ZIC2,FOXO3,RXRA,RARA,SOX8,ZBTB7A,HES1,ESRRA,NFE2L2,ELF2,NR2F1,ATF3
chr1_153902383_153903120	JTB	rs10127484,rs10127983,rs1043608,rs10494303,rs10559,rs10796968,rs10908512,rs10908525,rs10908526,rs10908557,rs10908558,rs1110165,rs11264522,rs11264532,rs11264559,rs11264567,rs11264573,rs11264619,rs11264620,rs11264621,rs11264680,rs11264734,rs11264736,rs11264743,rs11264763,rs113489222,rs11577942,rs11581644,rs11586075,rs11586593,rs11586830,rs11589043,rs11589857,rs11591134,rs11800001,rs12022158,rs12022730,rs12023578,rs12023699,rs12027783,rs12028398,rs12032520,rs12032914,rs12033532,rs12033835,rs12039936,rs12042562,rs12043350,rs12043354,rs12044455,rs12045838,rs12142733,rs12401565,rs12403956,rs12406003,rs12409811,rs140819178,rs143470898,rs143873821,rs148248952,rs1572788,rs189310462,rs2072704,rs2252508,rs2297895,rs34579266,rs34665499,rs35138279,rs35170146,rs35711150,rs3748848,rs3748849,rs3791186,rs3791187,rs4845357,rs4845358,rs4845583,rs4845585,rs4845586,rs55680156,rs58095661,rs60150125,rs61219911,rs61805526,rs6413529,rs6427329,rs6427334,rs6659220,rs6661009,rs6666703,rs6671132,rs6671362,rs6680140,rs6724,rs7415004,rs7522030,rs7524739,rs7527406,rs7537691,rs7549032,rs76474450,rs76529808,rs7704,rs78314980,rs79862066,rs8450,rs9427246,rs946682	###	rs1572788,rs3748848,rs11586593,rs11264619,rs3748849,rs11264620,rs12406003,rs10796968,rs58095661,rs61219911,rs11586075,rs1043608,rs4845358,rs4845585,rs4845357,rs1110165,rs11581644,rs6680140,rs12033835,rs12032914,rs946682,rs8450,rs10559,rs4845583,rs12028398,rs10127983,rs6671132,rs11264680,rs10908557,rs10908558,rs11577942,rs11264567,rs11264559,rs6724,rs12022730,rs11589857,rs3791187,rs12022158,rs12401565,rs11591134,rs6659220,rs6427329,rs11264734,rs12027783,rs11264532,rs113489222,rs11589043,rs11586830,rs7537691,rs12409811,rs12042562,rs12043350,rs60150125	0.4360625009534364	0.00046126346387664885	MEIS3,NR2F6,NFIC,RXRB,MAX,OLIG1,SMAD3,HEY1,MZF1,ARNT2,NFIX,PKNOX2,ETV5,TCF4,NFE2L1,BHLHE41,ETS2,EGR1,BHLHE40,RXRA,ID2,ELK1,ZBTB7A,ERF,USF2,ESRRA,NR2F1,GABPA
chr1_26097072_26097334	STMN1	rs112884056,rs115736400,rs115843343,rs143050381,rs719687,rs72875701,rs807253	###	###	0.4337465793327136	0.0005150025254563317	MEIS3,FOXO1,MYC,RXRB,JDP2,NR2C2,HIC1,ARX,E2F3,IRF3,POU2F2,POU3F2,NFIX,PKNOX2,NFIB,FLI1,SMAD2,EGR4,ZIC1,TBR1,ESRRA,ELF2,DBP,SP4,ESRRG,KLF9,MAZ,FOXO4,KLF16,NR2F2,POU6F1,SOX18,YY1,PKNOX1,AR,ETS1,FOXO6,HEY2,NRF1,E2F1,SOX15,PATZ1,TCF12,TEAD1,MGA,SOX2,KLF12,SRF,VSX1,RFX5,THAP1,IRF1,RXRG,ZIC2,SP1,RXRA,SOX6,FOXC1,ELF1,TEAD2,PRRX1,TCF7L2,ATF3,GATA2,TEAD4,MEIS2,EBF1,ZBTB33,SOX1,MSX1,NR3C1,KLF13,NFIA,BDP1,FOXJ3,RHOXF1,ETV5,TCF4,SPI1,ZIC4,KLF4,SMAD4,HIC2,MYCN,TFAP2C,ETS2,KLF5,EGR1,POU2F1,NR3C2,SOX12,EGR2,SOX21,SOX8,MEIS1,TBX2,NFE2L2,SOX17,SOX7,NR2F1,GABPA,TEF,ETV4,SOX9,NR2F6,SOX10,TBX3,CTCF,ELF4,REST,NFIC,POU3F4,SOX5,FOXG1,ETV1,SMAD3,MZF1,HEY1,HLF,FOXJ2,POU3F3,KLF7,KLF3,TCF3,ZNF410,EGR3,SP3,SP2,TBP,SOX4,ZNF740,POU3F1,BCL6B,FOXO3,TEAD3,ASCL1,ERG,HEYL,CREM,SOX13,RFX7
